Number of processors:	8
Transmitters per processor:	128
Processes per node:	4
TIME:1350601148.62168002:	Transmitter data send (3)	0.00000400 sec
TIME:1350601148.67938209:	Calculation and result dump (1)	8.22449600 sec
TIME:1350601148.67939401:	Transmitter data send (1)	0.00000400 sec
TIME:1350601148.91288304:	Calculation and result dump (2)	8.22116200 sec
TIME:1350601148.91289592:	Transmitter data send (2)	0.00000400 sec
TIME:1350601150.28965712:	Calculation and result dump (6)	8.25658100 sec
TIME:1350601150.28966904:	Transmitter data send (6)	0.00000400 sec
TIME:1350601153.64247203:	Calculation and result dump (4)	7.79372400 sec
TIME:1350601153.64248610:	Transmitter data send (4)	0.00000500 sec
TIME:1350601156.54730392:	Calculation and result dump (5)	8.22701700 sec
TIME:1350601156.54731798:	Transmitter data send (5)	0.00000500 sec
TIME:1350601156.68520594:	Calculation and result dump (7)	8.24003700 sec
TIME:1350601156.68521905:	Transmitter data send (7)	0.00000400 sec
TIME:1350601156.74829412:	Calculation and result dump (0)	8.17834000 sec
TIME:1350601156.74830699:	Transmitter data send (0)	0.00000400 sec
TIME:1350601156.84353805:	Calculation and result dump (3)	8.22185400 sec
TIME:1350601156.84355211:	Transmitter data send (3)	0.00000500 sec
TIME:1350601156.91710210:	Calculation and result dump (1)	8.23770400 sec
TIME:1350601156.91711497:	Transmitter data send (1)	0.00000500 sec
TIME:1350601157.13532710:	Calculation and result dump (2)	8.22242700 sec
TIME:1350601157.13533998:	Transmitter data send (2)	0.00000400 sec
TIME:1350601158.54631209:	Calculation and result dump (6)	8.25663900 sec
TIME:1350601158.54632592:	Transmitter data send (6)	0.00000500 sec
TIME:1350601161.80057406:	Calculation and result dump (4)	8.15808400 sec
TIME:1350601161.80058694:	Transmitter data send (4)	0.00000400 sec
TIME:1350601164.53101707:	Calculation and result dump (7)	7.84579400 sec
TIME:1350601164.53103089:	Transmitter data send (7)	0.00000500 sec
TIME:1350601164.77617908:	Calculation and result dump (5)	8.22885700 sec
TIME:1350601164.77619195:	Transmitter data send (5)	0.00000400 sec
TIME:1350601164.99192810:	Calculation and result dump (0)	8.24361700 sec
TIME:1350601164.99194098:	Transmitter data send (0)	0.00000400 sec
TIME:1350601165.08344507:	Calculation and result dump (3)	8.23988900 sec
TIME:1350601165.08345795:	Transmitter data send (3)	0.00000400 sec
TIME:1350601165.16992497:	Calculation and result dump (1)	8.25280600 sec
TIME:1350601165.16993809:	Transmitter data send (1)	0.00000400 sec
TIME:1350601165.35895300:	Calculation and result dump (2)	8.22360800 sec
TIME:1350601165.35896611:	Transmitter data send (2)	0.00000400 sec
TIME:1350601166.81796789:	Calculation and result dump (6)	8.27163800 sec
TIME:1350601166.81798100:	Transmitter data send (6)	0.00000400 sec
TIME:1350601169.96029997:	Calculation and result dump (4)	8.15970900 sec
TIME:1350601169.96031499:	Transmitter data send (4)	0.00000500 sec
TIME:1350601172.75713396:	Calculation and result dump (7)	8.22609900 sec
TIME:1350601172.75714898:	Transmitter data send (7)	0.00000500 sec
TIME:1350601172.93196988:	Calculation and result dump (3)	7.84850800 sec
TIME:1350601172.93198395:	Transmitter data send (3)	0.00000500 sec
TIME:1350601173.00083303:	Calculation and result dump (5)	8.22463700 sec
TIME:1350601173.00084591:	Transmitter data send (5)	0.00000500 sec
TIME:1350601173.23110199:	Calculation and result dump (0)	8.23915700 sec
TIME:1350601173.23111606:	Transmitter data send (0)	0.00000500 sec
TIME:1350601173.39573598:	Calculation and result dump (1)	8.22579400 sec
TIME:1350601173.39574909:	Transmitter data send (1)	0.00000400 sec
TIME:1350601173.60040307:	Calculation and result dump (2)	8.24143300 sec
TIME:1350601173.60041595:	Transmitter data send (2)	0.00000400 sec
TIME:1350601175.01181412:	Calculation and result dump (6)	8.19382900 sec
TIME:1350601175.01182699:	Transmitter data send (6)	0.00000400 sec
TIME:1350601178.12495089:	Calculation and result dump (4)	8.16463200 sec
TIME:1350601178.12496495:	Transmitter data send (4)	0.00000500 sec
TIME:1350601180.99322009:	Calculation and result dump (7)	8.23606700 sec
TIME:1350601180.99323297:	Transmitter data send (7)	0.00000400 sec
TIME:1350601181.15919590:	Calculation and result dump (3)	8.22720800 sec
TIME:1350601181.15921402:	Transmitter data send (3)	0.00000500 sec
TIME:1350601181.22902012:	Calculation and result dump (5)	8.22817000 sec
TIME:1350601181.22903299:	Transmitter data send (5)	0.00000500 sec
TIME:1350601181.44797492:	Calculation and result dump (2)	7.84755400 sec
TIME:1350601181.44798803:	Transmitter data send (2)	0.00000400 sec
TIME:1350601181.46843100:	Calculation and result dump (0)	8.23731100 sec
TIME:1350601181.46844292:	Transmitter data send (0)	0.00000400 sec
TIME:1350601181.62007904:	Calculation and result dump (1)	8.22432600 sec
TIME:1350601181.62009192:	Transmitter data send (1)	0.00000500 sec
TIME:1350601183.26962304:	Calculation and result dump (6)	8.25779100 sec
TIME:1350601183.26963711:	Transmitter data send (6)	0.00000500 sec
TIME:1350601186.30722404:	Calculation and result dump (4)	8.18225400 sec
TIME:1350601186.30723691:	Transmitter data send (4)	0.00000400 sec
TIME:1350601189.24336004:	Calculation and result dump (7)	8.25012200 sec
TIME:1350601189.24337411:	Transmitter data send (7)	0.00000500 sec
TIME:1350601189.38590789:	Calculation and result dump (3)	8.22669000 sec
TIME:1350601189.38592100:	Transmitter data send (3)	0.00000400 sec
TIME:1350601189.46973801:	Calculation and result dump (5)	8.24070100 sec
TIME:1350601189.46975088:	Transmitter data send (5)	0.00000400 sec
TIME:1350601189.66292000:	Calculation and result dump (2)	8.21492800 sec
TIME:1350601189.66293311:	Transmitter data send (2)	0.00000400 sec
TIME:1350601189.70787597:	Calculation and result dump (0)	8.23942900 sec
TIME:1350601189.70789003:	Transmitter data send (0)	0.00000500 sec
TIME:1350601189.84147811:	Calculation and result dump (1)	8.22138200 sec
TIME:1350601189.84149098:	Transmitter data send (1)	0.00000400 sec
TIME:1350601191.52528906:	Calculation and result dump (6)	8.25564800 sec
TIME:1350601191.52530193:	Transmitter data send (6)	0.00000400 sec
TIME:1350601194.10090804:	Calculation and result dump (4)	7.79366700 sec
TIME:1350601194.10092211:	Transmitter data send (4)	0.00000500 sec
TIME:1350601197.47136307:	Calculation and result dump (7)	8.22798500 sec
TIME:1350601197.47137809:	Transmitter data send (7)	0.00000500 sec
TIME:1350601197.63054895:	Calculation and result dump (3)	8.24462300 sec
TIME:1350601197.63056207:	Transmitter data send (3)	0.00000400 sec
TIME:1350601197.73046589:	Calculation and result dump (5)	8.26071100 sec
TIME:1350601197.73047900:	Transmitter data send (5)	0.00000400 sec
TIME:1350601197.87998295:	Calculation and result dump (2)	8.21704600 sec
TIME:1350601197.87999701:	Transmitter data send (2)	0.00000500 sec
TIME:1350601197.95959091:	Calculation and result dump (0)	8.25169700 sec
TIME:1350601197.95960402:	Transmitter data send (0)	0.00000400 sec
TIME:1350601198.06730795:	Calculation and result dump (1)	8.22581300 sec
TIME:1350601198.06732106:	Transmitter data send (1)	0.00000400 sec
TIME:1350601199.78324795:	Calculation and result dump (6)	8.25794200 sec
TIME:1350601199.78326201:	Transmitter data send (6)	0.00000500 sec
TIME:1350601202.25788307:	Calculation and result dump (4)	8.15695700 sec
TIME:1350601202.25789595:	Transmitter data send (4)	0.00000400 sec
TIME:1350601205.48634195:	Calculation and result dump (3)	7.85577600 sec
TIME:1350601205.48635507:	Transmitter data send (3)	0.00000400 sec
TIME:1350601205.69626188:	Calculation and result dump (7)	8.22488000 sec
TIME:1350601205.69627500:	Transmitter data send (7)	0.00000400 sec
